Commodity,Stage,Timeframe,Mode,Mean F1-Score,Mean Accuracy,Max Accuracy,Mean Precision,Mean Recall,Max F1-Score,Max Precision,Sharpe Ratio,Cumulative Return,BuyHold Return,Num Samples
SILVER,Stage 3,daily,buy_hold,0.4825134477569692,0.5227867993713985,0.6144578313253012,0.5374996854664665,0.5227867993713985,0.5891176939377549,0.6205157329655321,1.1627882612768148,505.5080399785598,3.4046511627906977,5988
SILVER,Stage 3,daily,buy_short,0.4825134477569692,0.5227867993713985,0.6144578313253012,0.5374996854664665,0.5227867993713985,0.5891176939377549,0.6205157329655321,1.5100767713573853,46942.03312551649,3.4046511627906977,5988
SILVER,Stage 3,monthly,buy_hold,0.4825134477569692,0.5227867993713985,0.6144578313253012,0.5374996854664665,0.5227867993713985,0.5891176939377549,0.6205157329655321,0.6375290597869007,32.06759004916582,3.4046511627906977,5988
SILVER,Stage 3,monthly,buy_short,0.4825134477569692,0.5227867993713985,0.6144578313253012,0.5374996854664665,0.5227867993713985,0.5891176939377549,0.6205157329655321,0.7820697828481443,198.52570265553686,3.4046511627906977,5988
SILVER,Stage 4,daily,buy_hold,0.47815968576628615,0.5215645189453465,0.5943775100401606,0.5364814397501683,0.5215645189453465,0.5785568205201427,0.6105298938701514,1.1319335102652839,420.40707071948833,3.4046511627906977,5988
SILVER,Stage 4,daily,buy_short,0.47815968576628615,0.5215645189453465,0.5943775100401606,0.5364814397501683,0.5215645189453465,0.5785568205201427,0.6105298938701514,1.4579882132321007,32492.919248207476,3.4046511627906977,5988
SILVER,Stage 4,monthly,buy_hold,0.47815968576628615,0.5215645189453465,0.5943775100401606,0.5364814397501683,0.5215645189453465,0.5785568205201427,0.6105298938701514,0.5876210611819878,27.35279907123174,3.4046511627906977,5988
SILVER,Stage 4,monthly,buy_short,0.47815968576628615,0.5215645189453465,0.5943775100401606,0.5364814397501683,0.5215645189453465,0.5785568205201427,0.6105298938701514,0.734520646651858,145.68497780570704,3.4046511627906977,5988
SUGAR,Stage 1,daily,buy_hold,0.3895964372805256,0.48524532914265767,0.5542168674698795,0.6189518269642814,0.48524532914265767,0.5430005283058302,0.7589071144013806,0.20843900630385628,2.030628487632279,3.121317157712306,5991
SUGAR,Stage 1,daily,buy_short,0.3895964372805256,0.48524532914265767,0.5542168674698795,0.6189518269642814,0.48524532914265767,0.5430005283058302,0.7589071144013806,0.16870377624705626,2.4529562123058066,3.121317157712306,5991
SUGAR,Stage 1,monthly,buy_hold,0.3895964372805256,0.48524532914265767,0.5542168674698795,0.6189518269642814,0.48524532914265767,0.5430005283058302,0.7589071144013806,0.2659942706945685,2.480060985654895,3.121317157712306,5991
SUGAR,Stage 1,monthly,buy_short,0.3895964372805256,0.48524532914265767,0.5542168674698795,0.6189518269642814,0.48524532914265767,0.5430005283058302,0.7589071144013806,0.22311421939924586,3.8382183518433477,3.121317157712306,5991
SUGAR,Stage 2,daily,buy_hold,0.44395911031077756,0.5102147721320063,0.5823293172690763,0.5682055215051344,0.5102147721320063,0.5316274893713154,0.7567781164819922,1.0318808059884073,102.2712103624689,3.121317157712306,5991
SUGAR,Stage 2,daily,buy_short,0.44395911031077756,0.5102147721320063,0.5823293172690763,0.5682055215051344,0.5102147721320063,0.5316274893713154,0.7567781164819922,1.1322446197636373,4008.4444673750427,3.121317157712306,5991
SUGAR,Stage 2,monthly,buy_hold,0.44395911031077756,0.5102147721320063,0.5823293172690763,0.5682055215051344,0.5102147721320063,0.5316274893713154,0.7567781164819922,0.6482836200182797,16.019319955279254,3.121317157712306,5991
SUGAR,Stage 2,monthly,buy_short,0.44395911031077756,0.5102147721320063,0.5823293172690763,0.5682055215051344,0.5102147721320063,0.5316274893713154,0.7567781164819922,0.6839936909702544,114.7167321922454,3.121317157712306,5991
SUGAR,Stage 3,daily,buy_hold,0.4705543154248858,0.5027064780862581,0.5783132530120482,0.5345850025645119,0.5027064780862581,0.5370022647917748,0.6571799463365728,0.9461760397600762,79.20672832255049,3.121317157712306,5991
